Aug 14 00:14:58 sweb-vs-001 postfix/smtp[9698]: A185A41ED7: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.8, delays=0.07/0.18/0.28/1.3, dsn=2.0.0, status=sent (250 2.0.0 t7E4EuKP011262 Message accepted for delivery)
Aug 14 12:55:06 sweb-vs-001 postfix/smtp[32717]: 9B0394163B: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=14, delays=0.02/0.08/0.21/14, dsn=2.0.0, status=sent (250 2.0.0 t7EGsp5a003884 Message accepted for delivery)
Aug 14 12:55:07 sweb-vs-001 postfix/smtp[32712]: 956B24164C: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=15, delays=0.05/0.05/0.22/14, dsn=2.0.0, status=sent (250 2.0.0 t7EGspFt003883 Message accepted for delivery)
Aug 14 12:55:08 sweb-vs-001 postfix/smtp[32709]: 956B24164C: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=16, delays=0.05/0.03/0.22/16, dsn=2.0.0, status=sent (250 2.0.0 t7EGspnW003882 Message accepted for delivery)
Aug 14 12:56:26 sweb-vs-001 postfix/smtp[32718]: A1C8D4169C: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=3.8, delays=0.06/0/0.23/3.5, dsn=2.0.0, status=sent (250 2.0.0 t7EGuLm4006636 Message accepted for delivery)
Aug 14 12:56:26 sweb-vs-001 postfix/smtp[32715]: B6FB3416A3: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=3.7, delays=0.06/0/0.22/3.4, dsn=2.0.0, status=sent (250 2.0.0 t7EGuLDK006638 Message accepted for delivery)
Aug 14 12:56:26 sweb-vs-001 postfix/smtp[32717]: B6FB3416A3: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=3.7, delays=0.06/0/0.24/3.4, dsn=2.0.0, status=sent (250 2.0.0 t7EGuLTw006637 Message accepted for delivery)
Aug 14 12:56:26 sweb-vs-001 postfix/smtp[32714]: 918394169F: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=3.8, delays=0.08/0/0.25/3.5, dsn=2.0.0, status=sent (250 2.0.0 t7EGuLeW006633 Message accepted for delivery)
Aug 14 12:56:26 sweb-vs-001 postfix/smtp[32716]: 608FC416A0: to=<noreply@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=0.31, delays=0.02/0/0.2/0.09, dsn=5.1.1, status=bounced (host sinairally.org.mf.canit.ca[174.142.115.37] said: 550 5.1.1 <noreply@sinairally.org>... User unknown (in reply to RCPT TO command))
Aug 14 12:56:28 sweb-vs-001 postfix/smtp[32708]: 918394169F: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=5.8, delays=0.08/0/0.25/5.4, dsn=2.0.0, status=sent (250 2.0.0 t7EGuLDH006632 Message accepted for delivery)
Aug 14 13:00:02 sweb-vs-001 postfix/smtp[32915]: DD25F416D3: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=1.2, delays=0.03/0.09/0.2/0.92, dsn=2.0.0, status=sent (250 2.0.0 t7EH00wD012178 Message accepted for delivery)
Aug 14 13:00:02 sweb-vs-001 postfix/smtp[32904]: DD25F416D3: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.3, delays=0.03/0.04/0.24/0.94, dsn=2.0.0, status=sent (250 2.0.0 t7EH00oh012172 Message accepted for delivery)
Aug 14 13:00:02 sweb-vs-001 postfix/smtp[32901]: C0E7C416CD: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.6, delays=0.05/0.02/0.35/1.2, dsn=2.0.0, status=sent (250 2.0.0 t7EH00XR012168 Message accepted for delivery)
Aug 14 13:00:02 sweb-vs-001 postfix/smtp[32909]: C6A4F416CB: to=<linda.kurbel@mountsinaifoundation.org>, relay=mountsinaifoundation.org.mf.canit.ca[174.142.115.37]:25, delay=1.6, delays=0.04/0.06/0.27/1.3, dsn=2.0.0, status=sent (250 2.0.0 t7EH00lH012170 Message accepted for delivery)
Aug 14 13:00:02 sweb-vs-001 postfix/smtp[32903]: C0E7C416CD: to=<info@sinairally.org>, relay=sinairally.org.mf.canit.ca[174.142.115.37]:25, delay=2.1, delays=0.05/0.04/0.33/1.7, dsn=2.0.0, status=sent (250 2.0.0 t7EH00rR012169 Message accepted for delivery)
